area,contract_date,purchase_price,year,post_code
5032.0,24/04/1995,180000,1995,2336
1011.0,20/02/1995,112500,1995,2336
76.0,01/11/1995,137000,1995,2336
1.707,31/05/1995,178000,1995,2320
4094.0,17/05/1995,270000,1995,2320
,27/10/1995,417500,1995,2046
,16/05/1995,380000,1995,2046
1487.0,03/05/1995,230000,1995,2326
668.4,18/03/1995,210000,1995,2176
,20/12/1995,260000,1995,2046
,27/02/1995,230000,1995,2046
,05/05/1995,180000,1995,2046
750.4,25/01/1995,332000,1995,2046
,03/03/1995,125000,1995,2289
569.1,25/08/1995,144000,1995,2289
,07/11/1995,140000,1995,2289
,22/11/1995,110000,1995,2289
,12/10/1995,205500,1995,2289
11.29,06/02/1995,226000,1995,2325
,24/06/1995,165000,1995,2289
,05/05/1995,132000,1995,2289
1484.0,25/03/1995,210000,1995,2046
1484.0,23/08/1995,190000,1995,2046
,21/11/1995,860000,1995,2046
,03/03/1995,290000,1995,2046
1012.0,31/10/1995,130000,1995,2325
,13/04/1995,342000,1995,2046
,21/04/1995,130000,1995,2046
,08/12/1995,198000,1995,2046
139.1,30/03/1995,225000,1995,2046
379.4,20/01/1995,150000,1995,2046
379.4,23/02/1995,220000,1995,2046
,24/11/1995,115000,1995,2289
638.6,12/01/1995,147500,1995,2289
7.685,06/02/1995,750000,1995,2320
,05/06/1995,120000,1995,2289
,08/02/1995,135000,1995,2289
428.58,01/05/1995,245000,1995,2289
4110.0,23/05/1995,105000,1995,2320
5337.0,23/11/1995,225000,1995,2046
935.8,03/11/1995,165000,1995,2325
1012.0,07/12/1995,105000,1995,2336
1007.0,12/10/1995,118000,1995,2336
701.9,25/10/1995,180995,1995,2289
727.2,21/12/1995,120000,1995,2289
,20/07/1995,124000,1995,2289
,08/12/1995,175000,1995,2289
678.2,16/02/1995,235000,1995,2289
676.6,22/06/1995,212000,1995,2289
,03/06/1995,711000,1995,2046
35.0,14/12/1995,330000,1995,2046
690.6,17/11/1995,345000,1995,2046
1385.0,31/03/1995,143600,1995,2336
,07/10/1995,410000,1995,2046
,31/05/1995,450000,1995,2046
398.1,27/01/1995,143000,1995,2289
,08/06/1995,185000,1995,2289
619.1,02/05/1995,148000,1995,2320
4033.0,06/02/1995,750000,1995,2320
4103.0,01/09/1995,225000,1995,2320
,29/09/1995,187500,1995,2289
,11/11/1995,519000,1995,2046
,21/11/1995,531000,1995,2046
,03/06/1995,255000,1995,2046
555.0,22/08/1995,110000,1995,2325
800.0,24/04/1995,112000,1995,2325
758.4,27/11/1995,138000,1995,2325
,15/05/1995,174000,1995,2046
,09/08/1995,195000,1995,2046
,05/06/1995,200000,1995,2046
,09/02/1995,143000,1995,2289
1195.0,09/02/1995,143000,1995,2289
1195.0,06/09/1995,134800,1995,2289
1061.0,10/11/1995,105500,1995,2320
600.0,01/08/1995,106500,1995,2763
191.0,01/09/1995,209350,1995,2630
,14/06/1995,138000,1995,2325
,03/08/1995,140000,1995,2325
,30/08/1995,398000,1995,2046
,15/09/1995,112500,1995,2046
,29/11/1995,114000,1995,2326
