post_code,area,contract_date,settlement_date,purchase_price,nature_of_property,primary_purpose,year
2325,2.503,03/01/2023,03/03/2023,6480000,3,COMMERCIAL,2023
2325,1012.0,02/08/2023,03/07/2023,670000,R,RESIDENCE,2023
2326,809.4,02/01/2023,03/08/2023,620000,R,RESIDENCE,2023
2334,1.619,06/08/2023,03/08/2023,1400000,R,RESIDENCE,2023
2327,674.6,02/06/2023,03/07/2023,550000,R,RESIDENCE,2023
2321,809.4,02/08/2023,03/08/2023,580000,R,RESIDENCE,2023
2325,2.633,02/10/2023,03/09/2023,350000,V,VACANT LAND,2023
2325,2062.5,02/03/2023,03/08/2023,910000,R,RESIDENCE,2023
2420,3396.0,02/02/2023,03/09/2023,750000,R,RESIDENCE,2023
2421,9280.0,02/06/2023,03/06/2023,565000,V,VACANT LAND,2023
2421,,09/03/2023,03/07/2023,725000,R,RESIDENCE,2023
2283,,02/02/2023,03/07/2023,690000,R,RESIDENCE,2023
2265,815.7,02/07/2023,03/07/2023,600000,R,RESIDENCE,2023
2280,594.4,02/07/2023,03/07/2023,1900000,R,RESIDENCE,2023
2280,588.1,02/01/2023,03/08/2023,672000,R,RESIDENCE,2023
2264,,11/10/2023,12/01/2023,750000,3,COMMERCIAL,2023
2290,,02/01/2023,03/09/2023,500000,3,WAREHOUSE,2023
2264,311.5,02/09/2023,03/09/2023,720000,R,RESIDENCE,2023
2283,645.0,02/07/2023,03/07/2023,770000,R,RESIDENCE,2023
2285,632.3,03/02/2023,03/09/2023,620000,R,RESIDENCE,2023
2289,,02/02/2023,03/09/2023,602000,R,RESIDENCE,2023
2290,600.7,02/02/2023,03/09/2023,755000,R,RESIDENCE,2023
2290,847.3,02/10/2023,03/03/2023,683000,R,RESIDENCE,2023
2281,751.4,12/06/2023,03/06/2023,1585000,R,RESIDENCE,2023
2280,594.4,02/09/2023,03/09/2023,875000,R,RESIDENCE,2023
2264,551.7,01/12/2023,03/09/2023,865000,R,RESIDENCE,2023
2283,636.6,02/03/2023,03/03/2023,712500,R,RESIDENCE,2023
2264,607.0,02/02/2023,03/03/2023,650000,R,RESIDENCE,2023
2281,550.1,01/07/2023,03/06/2023,1170000,R,RESIDENCE,2023
2282,808.0,02/02/2023,03/09/2023,840000,R,RESIDENCE,2023
2259,,02/03/2023,03/03/2023,455000,R,RESIDENCE,2023
2265,609.3,02/01/2023,03/03/2023,840000,R,RESIDENCE,2023
2283,113.0,03/02/2023,03/03/2023,341000,3,WAREHOUSE,2023
2290,451.0,11/11/2023,03/07/2023,420000,V,VACANT LAND,2023
2281,540.0,07/08/2023,03/08/2023,850000,V,VACANT LAND,2023
2281,625.2,03/07/2023,03/09/2023,550000,V,VACANT LAND,2023
2281,625.2,03/07/2023,03/09/2023,650000,V,VACANT LAND,2023
2281,450.2,06/11/2023,03/08/2023,465000,V,VACANT LAND,2023
2281,622.5,06/08/2023,03/08/2023,685000,R,RESIDENCE,2023
2281,596.9,07/01/2023,03/09/2023,625000,V,VACANT LAND,2023
2281,408.0,07/09/2023,03/09/2023,425000,V,VACANT LAND,2023
2281,490.7,06/04/2023,03/08/2023,450000,V,VACANT LAND,2023
2281,461.8,07/02/2023,03/08/2023,400000,V,VACANT LAND,2023
2281,450.1,07/07/2023,03/08/2023,400000,V,VACANT LAND,2023
2281,543.1,10/01/2023,03/08/2023,585000,V,VACANT LAND,2023
2281,745.4,11/11/2023,03/08/2023,670000,V,VACANT LAND,2023
2281,807.0,08/10/2023,03/09/2023,525000,V,VACANT LAND,2023
2281,664.2,06/09/2023,03/09/2023,494000,V,VACANT LAND,2023
2281,490.8,08/05/2023,03/08/2023,400000,V,VACANT LAND,2023
2281,490.8,03/08/2023,03/08/2023,599000,R,RESIDENCE,2023
2265,,07/09/2023,03/03/2023,343888,R,RESIDENCE,2023
2265,,08/04/2023,03/03/2023,308888,V,VACANT LAND,2023
2265,,07/12/2023,03/08/2023,308888,V,VACANT LAND,2023
2320,580.7,02/07/2023,03/07/2023,870000,R,RESIDENCE,2023
2322,602.7,02/10/2023,03/09/2023,1010000,R,RESIDENCE,2023
2321,,02/06/2023,03/06/2023,500000,R,RESIDENCE,2023
2320,556.4,02/03/2023,03/06/2023,620000,R,RESIDENCE,2023
2323,689.6,02/07/2023,03/07/2023,701000,R,RESIDENCE,2023
2320,556.4,02/02/2023,03/03/2023,445000,R,RESIDENCE,2023
2320,4704.0,10/10/2023,03/03/2023,1000000,R,RESIDENCE,2023
2322,902.7,02/01/2023,03/08/2023,760000,R,RESIDENCE,2023
2323,873.8,02/10/2023,03/08/2023,810000,R,RESIDENCE,2023
2321,866.6,12/05/2023,03/07/2023,890000,R,RESIDENCE,2023
2320,615.9,02/03/2023,03/09/2023,756000,R,RESIDENCE,2023
2322,578.6,02/08/2023,03/08/2023,420000,V,VACANT LAND,2023
2321,595.0,03/09/2023,03/09/2023,200000,V,VACANT LAND,2023
2320,403.9,02/02/2023,03/09/2023,700000,R,RESIDENCE,2023
2321,,02/02/2023,03/09/2023,510000,R,RESIDENCE,2023
2322,417.0,02/01/2023,03/07/2023,633000,R,RESIDENCE,2023
2333,1214.24,02/06/2023,03/06/2023,195000,R,RESIDENCE,2023
2333,1347.0,12/09/2023,03/07/2023,590000,R,RESIDENCE,2023
2333,741.8,02/10/2023,03/03/2023,350000,R,RESIDENCE,2023
2333,897.9,03/02/2023,03/09/2023,550000,R,RESIDENCE,2023
2333,979.7,02/09/2023,03/09/2023,505000,R,RESIDENCE,2023
2322,,02/09/2023,03/09/2023,431000,R,RESIDENCE,2023
2293,,02/08/2023,03/08/2023,705000,R,RESIDENCE,2023
2287,,02/02/2023,03/09/2023,565000,R,RESIDENCE,2023
2304,,10/08/2023,03/09/2023,420000,3,SHOP,2023
2298,129.0,02/02/2023,03/06/2023,685000,R,RESIDENCE,2023
2293,113.8,02/06/2023,03/06/2023,922000,R,RESIDENCE,2023
2296,170.7,02/01/2023,03/08/2023,760000,R,RESIDENCE,2023
2289,556.4,01/11/2023,03/07/2023,850000,R,RESIDENCE,2023
2303,203.8,02/01/2023,03/06/2023,820000,R,RESIDENCE,2023
