post_code,year,average_price,volume,sector
2000.0,2012,2958000,1271,NSW
2007.0,2012,756000,296,NSW
2008.0,2012,895000,153,NSW
2009.0,2012,1088000,561,NSW
2010.0,2012,1037000,1136,NSW
2011.0,2012,851000,884,NSW
2015.0,2012,1051000,537,NSW
2016.0,2012,728000,383,NSW
2017.0,2012,911000,975,NSW
2018.0,2012,626000,339,NSW
2019.0,2012,839000,218,NSW
2020.0,2012,701000,391,NSW
2021.0,2012,1109000,432,NSW
2022.0,2012,1123000,334,NSW
2023.0,2012,1885000,258,NSW
2024.0,2012,1392000,217,NSW
2025.0,2012,1606000,231,NSW
2026.0,2012,1608000,867,NSW
2027.0,2012,1536000,320,NSW
2028.0,2012,1859000,160,NSW
2029.0,2012,1367000,240,NSW
2030.0,2012,1935000,259,NSW
2031.0,2012,1022000,729,NSW
2032.0,2012,886000,201,NSW
2033.0,2012,1044000,228,NSW
2034.0,2012,1101000,464,NSW
2035.0,2012,871000,627,NSW
2036.0,2012,837000,546,NSW
2037.0,2012,1052000,269,NSW
2038.0,2012,894000,225,NSW
2039.0,2012,896000,263,NSW
2040.0,2012,847000,468,NSW
2041.0,2012,1187000,372,NSW
2042.0,2012,773000,408,NSW
2043.0,2012,1450000,212,NSW
2044.0,2012,711000,166,NSW
2045.0,2012,1262000,70,NSW
2046.0,2012,848000,572,NSW
2047.0,2012,898000,367,NSW
2048.0,2012,807000,134,NSW
2049.0,2012,1245000,229,NSW
2050.0,2012,753000,286,NSW
2060.0,2012,1486000,493,NSW
2061.0,2012,1293000,189,NSW
2062.0,2012,862000,246,NSW
2063.0,2012,1539000,111,NSW
2064.0,2012,1570000,236,NSW
2065.0,2012,917000,852,NSW
2066.0,2012,2552000,929,NSW
2067.0,2012,1102000,551,NSW
2068.0,2012,1184000,338,NSW
2069.0,2012,1526000,351,NSW
2070.0,2012,1503000,279,NSW
2071.0,2012,1274000,326,NSW
2072.0,2012,881000,282,NSW
2073.0,2012,1106000,275,NSW
2074.0,2012,998000,508,NSW
2075.0,2012,968000,410,NSW
2076.0,2012,993000,420,NSW
2077.0,2012,584000,816,NSW
2079.0,2012,628000,102,NSW
2080.0,2012,851000,44,NSW
2081.0,2012,642000,67,NSW
2082.0,2012,610000,77,NSW
2083.0,2012,631000,31,NSW
2084.0,2012,1612000,43,NSW
2085.0,2012,785000,204,NSW
2086.0,2012,859000,212,NSW
2087.0,2012,939000,176,NSW
2088.0,2012,1514000,817,NSW
2089.0,2012,901000,416,NSW
2090.0,2012,983000,364,NSW
2092.0,2012,1517000,138,NSW
2093.0,2012,1029000,529,NSW
2094.0,2012,866000,163,NSW
2095.0,2012,925000,532,NSW
2096.0,2012,863000,368,NSW
2097.0,2012,913000,312,NSW
2099.0,2012,668000,930,NSW
2100.0,2012,2573000,489,NSW
2101.0,2012,803000,429,NSW
2102.0,2012,734000,271,NSW
2103.0,2012,1117000,292,NSW
2104.0,2012,1407000,67,NSW
2105.0,2012,1264000,47,NSW
2106.0,2012,944000,215,NSW
2107.0,2012,1087000,294,NSW
2108.0,2012,2141000,57,NSW
2110.0,2012,1498000,176,NSW
2111.0,2012,1077000,337,NSW
2112.0,2012,765000,797,NSW
2113.0,2012,823000,301,NSW
2114.0,2012,636000,515,NSW
2115.0,2012,1068000,175,NSW
2116.0,2012,694000,110,NSW
2117.0,2012,638000,420,NSW
2118.0,2012,706000,383,NSW
2119.0,2012,1000000,185,NSW
2120.0,2012,2457000,378,NSW
2121.0,2012,936000,561,NSW
2122.0,2012,740000,567,NSW
2125.0,2012,947000,273,NSW
2126.0,2012,737000,284,NSW
2127.0,2012,578000,932,NSW
2128.0,2012,1024000,116,NSW
2130.0,2012,943000,130,NSW
2131.0,2012,578000,452,NSW
2132.0,2012,771000,126,NSW
2133.0,2012,647000,159,NSW
2134.0,2012,1417000,317,NSW
2135.0,2012,893000,468,NSW
2136.0,2012,682000,170,NSW
2137.0,2012,911000,670,NSW
2138.0,2012,765000,896,NSW
2140.0,2012,544000,322,NSW
2141.0,2012,711000,527,NSW
2142.0,2012,436000,645,NSW
2143.0,2012,921000,109,NSW
2144.0,2012,459000,597,NSW
2145.0,2012,638000,1555,NSW
2146.0,2012,454000,312,NSW
2147.0,2012,862000,673,NSW
2148.0,2012,412000,1273,NSW
2150.0,2012,780000,861,NSW
2151.0,2012,501000,473,NSW
2152.0,2012,524000,226,NSW
2153.0,2012,753000,1212,NSW
2154.0,2012,1807000,919,NSW
2155.0,2012,710000,1396,NSW
2156.0,2012,1043000,180,NSW
2157.0,2012,903000,53,NSW
2158.0,2012,1137000,153,NSW
2159.0,2012,965000,78,NSW
2160.0,2012,476000,707,NSW
2161.0,2012,426000,562,NSW
2162.0,2012,633000,288,NSW
2163.0,2012,376000,123,NSW
2164.0,2012,686000,389,NSW
2165.0,2012,471000,676,NSW
2166.0,2012,422000,755,NSW
2167.0,2012,344000,357,NSW
2168.0,2012,387000,522,NSW
2170.0,2012,455000,2008,NSW
2171.0,2012,423000,976,NSW
2172.0,2012,574000,48,NSW
2173.0,2012,477000,247,NSW
2174.0,2012,689000,68,NSW
2175.0,2012,1014000,15,NSW
2176.0,2012,496000,479,NSW
2177.0,2012,491000,134,NSW
2178.0,2012,974000,49,NSW
2179.0,2012,660000,50,NSW
2190.0,2012,757000,345,NSW
2191.0,2012,688000,84,NSW
2192.0,2012,591000,182,NSW
2193.0,2012,707000,220,NSW
2194.0,2012,595000,344,NSW
2195.0,2012,364000,521,NSW
2196.0,2012,488000,477,NSW
2197.0,2012,456000,132,NSW
2198.0,2012,548000,138,NSW
2199.0,2012,455000,292,NSW
2200.0,2012,456000,879,NSW
2203.0,2012,672000,271,NSW
2204.0,2012,745000,593,NSW
2205.0,2012,575000,641,NSW
2206.0,2012,797000,239,NSW
2207.0,2012,597000,519,NSW
2208.0,2012,762000,165,NSW
2209.0,2012,578000,223,NSW
2210.0,2012,638000,431,NSW
2211.0,2012,639000,316,NSW
2212.0,2012,587000,321,NSW
2213.0,2012,616000,360,NSW
2214.0,2012,522000,69,NSW
2216.0,2012,725000,639,NSW
2217.0,2012,660000,623,NSW
2218.0,2012,552000,306,NSW
2219.0,2012,688000,355,NSW
2220.0,2012,772000,592,NSW
2221.0,2012,898000,303,NSW
2222.0,2012,543000,246,NSW
2223.0,2012,1052000,428,NSW
2224.0,2012,905000,252,NSW
2225.0,2012,806000,90,NSW
2226.0,2012,644000,209,NSW
2227.0,2012,757000,283,NSW
2228.0,2012,638000,392,NSW
2229.0,2012,870000,783,NSW
2230.0,2012,796000,917,NSW
2231.0,2012,33593000,54,NSW
2232.0,2012,586000,861,NSW
2233.0,2012,606000,445,NSW
2234.0,2012,694000,421,NSW
2250.0,2012,440000,1671,NSW
2251.0,2012,520000,621,NSW
2256.0,2012,422000,435,NSW
2257.0,2012,516000,813,NSW
2258.0,2012,446000,126,NSW
2259.0,2012,365000,1395,NSW
2260.0,2012,650000,585,NSW
2261.0,2012,740000,1477,NSW
2262.0,2012,313000,463,NSW
2263.0,2012,312000,662,NSW
2264.0,2012,458000,303,NSW
2265.0,2012,346000,105,NSW
2267.0,2012,378000,61,NSW
2278.0,2012,273000,64,NSW
2280.0,2012,522000,594,NSW
2281.0,2012,433000,304,NSW
2282.0,2012,470000,362,NSW
2283.0,2012,402000,556,NSW
2284.0,2012,425000,220,NSW
2285.0,2012,420000,802,NSW
2286.0,2012,337000,57,NSW
2287.0,2012,332000,925,NSW
2289.0,2012,449000,401,NSW
2290.0,2012,462000,722,NSW
2291.0,2012,721000,353,NSW
2292.0,2012,479000,80,NSW
2293.0,2012,796000,96,NSW
2294.0,2012,561000,73,NSW
2295.0,2012,408000,192,NSW
2296.0,2012,333000,74,NSW
2297.0,2012,373000,60,NSW
2298.0,2012,434000,185,NSW
2299.0,2012,383000,241,NSW
2300.0,2012,1594000,591,NSW
2302.0,2012,743000,72,NSW
2303.0,2012,580000,210,NSW
2304.0,2012,1063000,446,NSW
2305.0,2012,478000,273,NSW
2306.0,2012,217000,56,NSW
2307.0,2012,300000,99,NSW
2311.0,2012,728000,24,NSW
2312.0,2012,343000,39,NSW
2315.0,2012,409000,593,NSW
2316.0,2012,452000,148,NSW
2317.0,2012,427000,172,NSW
2318.0,2012,398000,316,NSW
2319.0,2012,289000,177,NSW
2320.0,2012,372000,1268,NSW
2321.0,2012,387000,614,NSW
2322.0,2012,432000,485,NSW
2323.0,2012,340000,669,NSW
2324.0,2012,346000,696,NSW
2325.0,2012,452000,845,NSW
2326.0,2012,349000,144,NSW
2327.0,2012,282000,193,NSW
2328.0,2012,381000,56,NSW
2329.0,2012,473000,172,NSW
2330.0,2012,501000,734,NSW
2333.0,2012,321000,673,NSW
2334.0,2012,269000,87,NSW
2335.0,2012,464000,149,NSW
2336.0,2012,325000,73,NSW
2337.0,2012,1026000,290,NSW
2338.0,2012,515000,64,NSW
2339.0,2012,116000,27,NSW
2340.0,2012,354000,1328,NSW
2341.0,2012,409000,41,NSW
2342.0,2012,461000,10,NSW
2343.0,2012,396000,124,NSW
2344.0,2012,609000,17,NSW
2345.0,2012,406000,18,NSW
2346.0,2012,333000,83,NSW
2347.0,2012,264000,58,NSW
2350.0,2012,416000,512,NSW
2352.0,2012,274000,72,NSW
2353.0,2012,252000,26,NSW
2354.0,2012,592000,108,NSW
2355.0,2012,206000,27,NSW
2356.0,2012,152000,11,NSW
2357.0,2012,269000,83,NSW
2358.0,2012,462000,91,NSW
2359.0,2012,381000,10,NSW
2360.0,2012,318000,332,NSW
2361.0,2012,162000,25,NSW
2365.0,2012,364000,65,NSW
2369.0,2012,237000,17,NSW
2370.0,2012,254000,175,NSW
2371.0,2012,149000,61,NSW
2372.0,2012,300000,170,NSW
2379.0,2012,1729000,15,NSW
2380.0,2012,379000,377,NSW
2381.0,2012,480000,64,NSW
2382.0,2012,344000,61,NSW
2385.0,2012,9000,5,NSW
2386.0,2012,1739000,17,NSW
2387.0,2012,1973000,7,NSW
2388.0,2012,448000,92,NSW
2390.0,2012,370000,284,NSW
2395.0,2012,176000,33,NSW
2396.0,2012,84000,19,NSW
2397.0,2012,884000,9,NSW
2398.0,2012,94000,3,NSW
2399.0,2012,687000,9,NSW
2400.0,2012,866000,286,NSW
2401.0,2012,504000,6,NSW
2402.0,2012,253000,55,NSW
2403.0,2012,408000,13,NSW
2404.0,2012,247000,39,NSW
2405.0,2012,669000,14,NSW
2406.0,2012,178000,27,NSW
2408.0,2012,3643000,9,NSW
2409.0,2012,2331000,25,NSW
2410.0,2012,1616000,4,NSW
2411.0,2012,2016000,4,NSW
2415.0,2012,360000,14,NSW
2420.0,2012,391000,94,NSW
2421.0,2012,352000,53,NSW
2422.0,2012,411000,175,NSW
2423.0,2012,401000,77,NSW
2424.0,2012,217000,17,NSW
2425.0,2012,332000,38,NSW
2426.0,2012,397000,19,NSW
2427.0,2012,278000,149,NSW
2428.0,2012,362000,702,NSW
2429.0,2012,289000,235,NSW
2430.0,2012,303000,902,NSW
2431.0,2012,345000,131,NSW
2439.0,2012,323000,60,NSW
2440.0,2012,243000,400,NSW
2441.0,2012,276000,104,NSW
2443.0,2012,356000,229,NSW
2444.0,2012,390000,1298,NSW
2445.0,2012,541000,151,NSW
2446.0,2012,400000,331,NSW
2447.0,2012,349000,160,NSW
2448.0,2012,304000,166,NSW
2449.0,2012,211000,39,NSW
2450.0,2012,523000,1104,NSW
2452.0,2012,346000,312,NSW
2453.0,2012,319000,61,NSW
2454.0,2012,397000,150,NSW
2455.0,2012,378000,46,NSW
2456.0,2012,386000,302,NSW
2460.0,2012,322000,603,NSW
2462.0,2012,264000,47,NSW
2463.0,2012,417000,194,NSW
2464.0,2012,519000,165,NSW
2465.0,2012,297000,6,NSW
2466.0,2012,296000,34,NSW
2469.0,2012,1044000,119,NSW
2470.0,2012,313000,219,NSW
2471.0,2012,2019000,49,NSW
2472.0,2012,285000,47,NSW
2473.0,2012,363000,70,NSW
2474.0,2012,281000,107,NSW
2475.0,2012,178000,19,NSW
2476.0,2012,178000,20,NSW
2477.0,2012,403000,239,NSW
2478.0,2012,571000,570,NSW
2479.0,2012,860000,86,NSW
2480.0,2012,424000,756,NSW
2481.0,2012,852000,358,NSW
2482.0,2012,513000,119,NSW
2483.0,2012,471000,187,NSW
2484.0,2012,383000,329,NSW
2485.0,2012,390000,354,NSW
2486.0,2012,428000,651,NSW
2487.0,2012,555000,410,NSW
2488.0,2012,706000,100,NSW
2489.0,2012,434000,182,NSW
2490.0,2012,532000,17,NSW
2500.0,2012,559000,1022,NSW
2502.0,2012,295000,168,NSW
2505.0,2012,474000,81,NSW
2506.0,2012,348000,101,NSW
2508.0,2012,572000,180,NSW
2515.0,2012,637000,305,NSW
2516.0,2012,603000,127,NSW
2517.0,2012,475000,343,NSW
2518.0,2012,418000,327,NSW
2519.0,2012,462000,299,NSW
2525.0,2012,426000,187,NSW
2526.0,2012,433000,267,NSW
2527.0,2012,521000,432,NSW
2528.0,2012,390000,362,NSW
2529.0,2012,398000,690,NSW
2530.0,2012,349000,659,NSW
2533.0,2012,778000,405,NSW
2534.0,2012,562000,189,NSW
2535.0,2012,657000,197,NSW
2536.0,2012,376000,567,NSW
2537.0,2012,325000,323,NSW
2538.0,2012,499000,73,NSW
2539.0,2012,428000,605,NSW
2540.0,2012,359000,1228,NSW
2541.0,2012,287000,674,NSW
2545.0,2012,246000,32,NSW
2546.0,2012,364000,313,NSW
2548.0,2012,373000,280,NSW
2549.0,2012,319000,74,NSW
2550.0,2012,350000,424,NSW
2551.0,2012,1140000,96,NSW
2555.0,2012,840000,3,NSW
2556.0,2012,999000,22,NSW
2557.0,2012,428000,452,NSW
2558.0,2012,338000,163,NSW
2559.0,2012,451000,6,NSW
2560.0,2012,376000,1452,NSW
2563.0,2012,519000,5,NSW
2564.0,2012,309000,211,NSW
2565.0,2012,449000,451,NSW
2566.0,2012,442000,481,NSW
2567.0,2012,436000,997,NSW
2568.0,2012,652000,14,NSW
2569.0,2012,574000,25,NSW
2570.0,2012,458000,1148,NSW
2571.0,2012,446000,262,NSW
2572.0,2012,453000,77,NSW
2573.0,2012,392000,124,NSW
2574.0,2012,436000,137,NSW
2575.0,2012,527000,426,NSW
2576.0,2012,632000,428,NSW
2577.0,2012,569000,414,NSW
2578.0,2012,342000,98,NSW
2579.0,2012,428000,137,NSW
2580.0,2012,354000,1014,NSW
2581.0,2012,439000,112,NSW
2582.0,2012,994000,359,NSW
2583.0,2012,265000,159,NSW
2584.0,2012,1204000,26,NSW
2585.0,2012,7650000,15,NSW
2586.0,2012,224000,142,NSW
2587.0,2012,290000,111,NSW
2588.0,2012,254000,10,NSW
2590.0,2012,328000,244,NSW
2594.0,2012,335000,387,NSW
2611.0,2012,32081000,7,NSW
2618.0,2012,687000,11,NSW
2619.0,2012,591000,220,NSW
2620.0,2012,1476000,848,NSW
2621.0,2012,424000,203,NSW
2622.0,2012,571000,166,NSW
2623.0,2012,241000,26,NSW
2626.0,2012,298000,14,NSW
2627.0,2012,267000,205,NSW
2628.0,2012,236000,55,NSW
2629.0,2012,187000,21,NSW
2630.0,2012,433000,276,NSW
2631.0,2012,3390000,40,NSW
2632.0,2012,2965000,99,NSW
2633.0,2012,7589000,50,NSW
2640.0,2012,571000,902,NSW
2641.0,2012,230000,341,NSW
2642.0,2012,856000,149,NSW
2643.0,2012,250000,89,NSW
2644.0,2012,11854000,107,NSW
2645.0,2012,326000,25,NSW
2646.0,2012,331000,214,NSW
2647.0,2012,289000,68,NSW
2648.0,2012,273000,80,NSW
2649.0,2012,240000,1,NSW
2650.0,2012,775000,1450,NSW
2651.0,2012,263000,39,NSW
2652.0,2012,3088000,181,NSW
2653.0,2012,12609000,90,NSW
2655.0,2012,190000,31,NSW
2656.0,2012,494000,49,NSW
2658.0,2012,771000,61,NSW
2659.0,2012,259000,30,NSW
2660.0,2012,416000,41,NSW
2661.0,2012,2000,1,NSW
2663.0,2012,463000,122,NSW
2665.0,2012,286000,89,NSW
2666.0,2012,376000,153,NSW
2668.0,2012,223000,28,NSW
2669.0,2012,354000,74,NSW
2671.0,2012,234000,128,NSW
2672.0,2012,219000,38,NSW
2675.0,2012,304000,40,NSW
2680.0,2012,401000,413,NSW
2681.0,2012,376000,25,NSW
2700.0,2012,326000,129,NSW
2701.0,2012,340000,76,NSW
2702.0,2012,140000,26,NSW
2703.0,2012,159000,13,NSW
2705.0,2012,272000,213,NSW
2706.0,2012,676000,17,NSW
2707.0,2012,274000,26,NSW
2710.0,2012,392000,277,NSW
2711.0,2012,851000,108,NSW
2712.0,2012,215000,62,NSW
2713.0,2012,219000,79,NSW
2714.0,2012,380000,81,NSW
2715.0,2012,522000,39,NSW
2716.0,2012,427000,37,NSW
2717.0,2012,85000,26,NSW
2720.0,2012,257000,211,NSW
2721.0,2012,398000,25,NSW
2722.0,2012,257000,97,NSW
2725.0,2012,148000,14,NSW
2726.0,2012,938000,14,NSW
2727.0,2012,232000,9,NSW
2729.0,2012,6738000,58,NSW
2730.0,2012,2669000,30,NSW
2731.0,2012,352000,204,NSW
2732.0,2012,309000,59,NSW
2733.0,2012,161000,22,NSW
2734.0,2012,583000,5,NSW
2735.0,2012,116000,6,NSW
2736.0,2012,155000,9,NSW
2737.0,2012,255000,18,NSW
2738.0,2012,319000,63,NSW
2739.0,2012,319000,34,NSW
2745.0,2012,387000,830,NSW
2747.0,2012,356000,1107,NSW
2748.0,2012,926000,15,NSW
2749.0,2012,384000,455,NSW
2750.0,2012,437000,989,NSW
2752.0,2012,454000,83,NSW
2753.0,2012,466000,315,NSW
2754.0,2012,598000,106,NSW
2756.0,2012,795000,675,NSW
2757.0,2012,633000,12,NSW
2758.0,2012,587000,147,NSW
2759.0,2012,534000,388,NSW
2760.0,2012,359000,874,NSW
2761.0,2012,531000,542,NSW
2762.0,2012,963000,92,NSW
2763.0,2012,452000,519,NSW
2765.0,2012,716000,275,NSW
2766.0,2012,939000,245,NSW
2767.0,2012,380000,430,NSW
2768.0,2012,559000,488,NSW
2769.0,2012,414000,670,NSW
2770.0,2012,307000,952,NSW
2773.0,2012,541000,80,NSW
2774.0,2012,449000,217,NSW
2775.0,2012,292000,54,NSW
2776.0,2012,401000,79,NSW
2777.0,2012,436000,306,NSW
2778.0,2012,450000,38,NSW
2779.0,2012,339000,107,NSW
2780.0,2012,459000,451,NSW
2782.0,2012,433000,161,NSW
2783.0,2012,293000,64,NSW
2784.0,2012,307000,33,NSW
2785.0,2012,376000,145,NSW
2786.0,2012,309000,52,NSW
2787.0,2012,360000,119,NSW
2790.0,2012,261000,401,NSW
2791.0,2012,398000,13,NSW
2792.0,2012,839000,28,NSW
2793.0,2012,217000,60,NSW
2794.0,2012,244000,335,NSW
2795.0,2012,1087000,1503,NSW
2797.0,2012,785000,26,NSW
