,district_code,source,valuation_num,property_id,unit_number,house_number,street_name,suburb_name,postcode,contract_date,purchase_price,land_description,area,area_type,dimensions,comp_code,zone_code,vendor_name,purchaser_name
0,011,ARCHIVE,152730020000,,,3,JEAN O'BRYAN CL,ABERDEEN,2336,,165000,LOT 3 DP 832100.,4913.0,M,,AA,A,,
1,204,ARCHIVE,772300000000,,,24,ST ALBANS ST,ABBOTSFORD,2046,,525000,LOT B DP 317428.,,,,EP,A,,
2,001,ARCHIVE,235409000000,,,82,TAMWORTH ST,ABERMAIN,2326,,105000,LOT 9 DP 264030.,601.8,M,,HA,A,,
3,220,ARCHIVE,976671221000,,,LOT 611,FALMER ST,ABBOTSBURY,2176,,440000,LOT 611 DP 748199.,699.1,M,,JH,A,,
4,204,ARCHIVE,3500000000,1896868,,66,ABBOTSFORD PD,ABBOTSFORD,2046,,750000,LOT D DP 320435.,,,,EV,A,,
5,008,VALNET1,0838800000000,213423,,1,CLINTON AV,ADAMSTOWN,2289,,160000,LOT 33 DP 29069.,569.1,M,,,A,,
6,204,ARCHIVE,926020000000,,,30 - 32,WALTON CR,ABBOTSFORD,2046,,1625000,"LOT 1 DP 811422, LOTS 3-6 SP 40450, LOTS 8-10 SP 52291.& MSB LEASE OF 58.2 SQM & SITES OF 12 PILES",1993.0,M,,EH,A,,
7,001,ARCHIVE,0121000000000,1374,,49,ABERDARE RD,ABERDARE,2325,,74000,LOT 1 DP 434536.,,,,GA,A,,
8,001,ARCHIVE,5700000000,63,,78,ABERDARE RD,ABERDARE,2325,,92000,LOT 15 SEC 39 DP 758002.,1012.0,M,,GA,A,,
9,204,VALNET1,0341200000000,1902172,,420,GREAT NORTH RD,ABBOTSFORD,2046,,595000,"LOT 2 SEC    C DP 4669, LOT 1-2 SP 41229.",,,,,A,,
10,204,ARCHIVE,342100000000,,,438 - 440,GREAT NORTH RD,ABBOTSFORD,2046,,233000,"LOT 16 DP 873659, LOTS 1-8 SP 56639.",1043.6,M,,ED,A,,
11,008,VALNET1,1365500000000,219932,,19,EIGHTH ST,ADAMSTOWN,2289,,223000,LOT 8 DP 17900.,638.6,M,,,A,,
12,008,ARCHIVE,1364500000000,219922,,32,EIGHTH ST,ADAMSTOWN,2289,,160000,LOT 3 SEC M DP 2347.,,,,HB,A,,
13,204,VALNET1,0344100000000,1902210,,591,GREAT NORTH RD,ABBOTSFORD,2046,,475000,LOT 3 DP 14049.,398.4,M,,,A,,
14,204,ARCHIVE,773310000000,,,46 - 48,ST ALBANS ST,ABBOTSFORD,2046,,305000,"LOT 21 DP 5175, LOT 2 DP 201163, LOTS 1-21 SP 4501.",5337.0,M,,ED,A,,
15,001,ARCHIVE,128600000000,15876,,4,QUARRYBYLONG ST,ABERDARE,2325,,92000,LOT B DP 360670.,543.8,M,,GA,A,,
16,011,ARCHIVE,157231600000,,,19,MCLEOD ST,ABERDEEN,2336,,110000,LOT 47 DP 261048.,836.0,M,,AA,A,,
17,008,ARCHIVE,2417000000000,232942,,33,KING ST,ADAMSTOWN,2289,,150000,LOT 1 DP 742584.,556.4,M,,HB,A,,
18,204,VALNET1,0043800000000,1897502,,25,BATTERSEA ST,ABBOTSFORD,2046,,1250000,LOT 76 DP 3790.,607.0,M,,,A,,
19,005,ARCHIVE,123300219600,,,145,BUDGEREE DR,ABERGLASSLYN,2320,,45000,LOT 112 DP 880830.,805.0,M,,EL,A,,
20,214,ARCHIVE,3796200474050,2240666,,91,WILSON RD,ACACIA GARDENS,2763,,244000,LOT 1524 DP 778082 SUBJECT TO DRAINAGE EASEMENT.,624.9,M,,DS,A,,
21,008,ARCHIVE,1727000000000,224317,,492,GLEBE RD,ADAMSTOWN,2289,,195000,LOT 1 DP 620806.,696.2,M,,HB,A,,
22,008,ARCHIVE,1725200000000,224295,,574,GLEBE RD,ADAMSTOWN,2289,,153500,LOT 1-3 SP 36536.,,,,HG,A,,
23,005,VALNET1,0925011050232,192516,,168,WEBLANDS ST,ABERGLASSLYN,2320,,196000000,LOT 602 DP 830757.,1061.0,M,,,A,,
24,249,ARCHIVE,0242000000000,,,18,DENISON ST,ADAMINABY,2630,,117000,LOT 68 DP 28078.(ADAMINABY),980.0,M,,CA,A,,
25,001,ARCHIVE,0370000000000,4355,,3,CONGEWAI ST,ABERDARE,2325,,60000,LOT 3 SEC 27 DP 758002.,1012.0,M,,GA,A,,
26,001,VALNET1,0035300000000,450,,32,CONGEWAI ST,ABERDARE,2325,,38880,LOT 15 SEC 15 DP 758002.,,,,,A,,
27,001,ARCHIVE,219100000000,,,13,JOHN ST,ABERMAIN,2326,,70000,LOT 14 DP 996365.,809.3,M,,HA,A,,
28,001,ARCHIVE,132500000000,16395,,156,RAWSON ST,ABERDARE,2325,,104000,PH CESSNOCK POR 381,1012.0,M,,GA,A,,
29,220,ARCHIVE,2100831500000,2414241,,LOT 2,PENDLEBURY PL,ABBOTSBURY,0,,400000,LOT 2 DP 791764.,600.0,M,,JH,A,,
30,214,ARCHIVE,1351850500000,2182273,,17,GANNET PL,ACACIA GARDENS,2763,,328000,LOT 21 DP 849861 SUBJECT TO EASEMENT.,586.0,M,,DS,A,,
31,008,VALNET1,0526400000000,209199,,172,BRUNKER ROAD,ADAMSTOWN,2289,,87500,LOT 1-24 SP 10260.,,,,,A,,
32,005,VALNET1,0315002000000,179337,,5,GHILGAI AV,ABERGLASSLYN,2320,,42000,LOT 327 DP 840375.,610.6,M,,,A,,
33,108,ARCHIVE,201600000,,,7,ABERCROMBIE DR,ABERCROMBIE,2795,,195000,LOT 14 DP 807432.,900.0,M,,AW,A,,
34,204,VALNET1,0188000000000,1899947,,34,CURTIN AV,ABBOTSFORD,2046,,680000,LOT 90 DP 35143.,,,,,A,,
35,005,VALNET1,0423800181400,181409,,5,HONEYOAK DR,ABERGLASSLYN,2320,,55000,LOT 214 DP 1006543 SUBJECT TO DRAINAGE EASEMENT.,814.3,M,,,A,,
36,204,ARCHIVE,602900000000,,,14,MONTROSE RD,ABBOTSFORD,2046,,305000,"LOTS 22-23 SEC D DP 4669, LOTS 1-10 SP 10971.",,,,ED,A,,
37,008,ARCHIVE,1793100000000,225097,,207,GOSFORD ROAD,ADAMSTOWN,2289,,165000,LOT 2 DP 334707.,,,,HB,A,,
38,220,ARCHIVE,199211320000,,,LOT 101,BEGOVICH CR,ABBOTSBURY,2176,,450000,LOT 101 DP 717620.2.5/27.5X101.5IRR/76.5 SUBJ TOROC EASE 2.5 WIDE,1103.0,M,,JH,A,,
39,249,ARCHIVE,0535050000000,,,,PSH CADDIGAT,ADAMINABY,2630,,60000,PSH CADDIGAT LOT 10 DP 756683.,24.28,H,,RV,R,,
40,204,VALNET1,0602500000000,1906124,,6 - 8,MONTROSE RD,ABBOTSFORD,2046,,387000,"LOT 1 DP 863669, LOTS 1-10 SP 53124.",,,,,A,,
41,204,ARCHIVE,602500000000,,,6 - 8,MONTROSE RD,ABBOTSFORD,2046,,395000,"LOT 1 DP 863669, LOTS 1-10 SP 53124.",,,,ED,A,,
42,204,ARCHIVE,602500000000,,,6 - 8,MONTROSE RD,ABBOTSFORD,2046,,350000,"LOT 1 DP 863669, LOTS 1-10 SP 53124.",,,,ED,A,,
43,001,ARCHIVE,226000000000,,,76,MAITLAND ST,ABERMAIN,2326,,131500,LOT 101 DP 585622.,930.6,M,,HA,A,,
44,008,ARCHIVE,598653000000,,,6,BUXTON LANE,ADAMSTOWN,2289,,125000,LOT 10 SEC 1 DP 1406.,,,,HB,A,,
45,204,ARCHIVE,927310000000,,,12 - 16,WALTON CR,ABBOTSFORD,2046,,646000,"LOTS 27-29 SEC A DP 4669, LOT 1 DP 558542, LOTS 1-56 SP 6906.AREA EXCLUDES POR 383(VOL 2219 FOL 117) POR 385(VOL 2352 FOL 155) & WATERWAYS LEASE OF 75 SQM & 59 SQM",4091.4,M,,EH,A,,
46,214,VALNET1,2230330980000,2204070,,31,MARKHAM CT,ACACIA GARDENS,2763,,359950,LOT 511 DP 850894 SUBJECT TO DRAINAGE EASEMENT.,657.2,M,,,A,,
47,008,VALNET1,0541900000000,209402,,48,BRYANT ST,ADAMSTOWN,2289,,150000,LOT 2 DP 24837.,322.5,M,,,A,,
48,005,VALNET1,0690465060000,187332,,7,PEPPERTREE CIRC,ABERGLASSLYN,2320,,52500,LOT 254 DP 1006543.,826.5,M,,,A,,
49,005,ARCHIVE,690465040000,,,8,PEPPERTREE CIRC,ABERGLASSLYN,2320,,57750,LOT 220 DP 1006543.,820.0,M,,EL,A,,
50,001,ARCHIVE,106100000000,13134,,53,MELBOURNE ST,ABERDARE,2325,,95000,LOT 2 SEC 17 DP 758002.,1012.0,M,,GA,A,,
51,008,ARCHIVE,3359700000000,244571,,120,NORTHCOTT DR,ADAMSTOWN HEIGHTS,2289,,152000,LOT 39 DP 29469.,695.6,M,,HA,A,,
52,218,VALNET1,0707185600000,2332644,,11,OLDBURY PLACE,AIRDS,2560,,110000,LOT 8207 DP 251262. IRR9.42/29.73X31.36/31.76,614.0,M,,,A,,
53,008,ARCHIVE,3135600000000,241636,,8,MORGAN ST,ADAMSTOWN,2289,,85000,"LOT 1 SP 20464, LOT 2 SP 20464.",,,,HB,A,,
54,008,VALNET1,3222400000000,242892,,47,NARARA RD,ADAMSTOWN,2289,,140000,LOT B DP 385281.,,,,,A,,
55,008,ARCHIVE,537000000000,,,444,BRUNKER ROAD,ADAMSTOWN HEIGHTS,2289,,220000,LOT 11 DP 37925.,594.4,M,,HA,A,,
56,008,ARCHIVE,537800000000,,,462,BRUNKER ROAD,ADAMSTOWN HEIGHTS,2289,,245000,LOT 3 DP 37925.,600.7,M,,HA,A,,
57,100,VALNET1,3405001680000,1037087,,,DIAMANTINA CCT,ALBION PARK,2527,,75000,LOT 2028 DP 1014420 SUBJECT TO DRAINAGE EASEMENT.,635.6,M,,,A,,
58,100,ARCHIVE,3405021000000,1037090,,,DIAMANTINA CRCT,ALBION PARK,2527,,210000,LOT 2008 DP 1012756 SUBJECT TO DRAINAGE EASEMENT.,557.4,M,,CD,A,,
59,100,ARCHIVE,3405024000000,1037093,,,DIAMANTINA CRCT,ALBION PARK,2527,,227500,LOT 2005 DP 1012756.,635.4,M,,CD,A,,
